source_paper,fuel_name,is_biodiesel,fuel_type,feedstock_type,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,CIN_injection_timing_CAD_BTDC,CIN_ignition_delay_CAD,CIN_indicated_thermal_efficiency,CIN_injection_duration,CIN_peak_pressure_bar,CIN_peak_HRR_J_deg,CIN_max_average_temp_K,CIN_NOx_ppm,CIN_CO_ppm,CIN_THC_ppm,CIN_particulate_mass_mg_m3,CIG_ignition_timing_CAD_BTDC,CIG_ignition_delay_CAD,CIG_indicated_thermal_efficiency,CIG_injection_duration,CIG_peak_pressure_bar,CIG_peak_HRR_J_deg,CIG_max_average_temp_K,CIG_NOx_ppm,CIG_CO_ppm,CIG_THC_ppm,CIG_particulate_mass_mg_m3,2_EHN_dosage_ppm
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,methyl oleate,Y,fatty acid ester,,600.3,252.94,,,,2.638,37.42,62.3,FD-RH diesel,1200,450,4.0,7.5,3.7,35.41,747,,,,,,,,0.0,3.6,35.27,747,,,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,methyl stearate,Y,fatty acid ester,,601.8,310.81,,,,3.2252,37.64,88.9,FD-RH diesel,1200,450,4.0,7.5,6.1,34.29,820,,,,,,,,0.0,5.9,34.07,823,,80.3,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,ethyl stearate,Y,fatty acid ester,,611.5,306.13,,,,3.3073,37.79,86.83,FD-RH diesel,1200,450,4.0,7.5,4.4,35.16,816,,,,,,,,0.0,4.3,35.04,815,,,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,n-propyl stearate,Y,fatty acid ester,,620.8,301.25,,,,4.406,37.72,80.4,FD-RH diesel,1200,450,4.0,7.5,4.3,35.31,804,,,,,,,,0.0,4.3,34.68,801,,,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,n-butyl stearate,Y,fatty acid ester,,629.6,298.78,,,,,38.4,86.3,FD-RH diesel,1200,450,4.0,7.5,4.5,35.35,816,,,,,,,,0.0,4.3,34.9,817,,,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,iso-propyl stearate,Y,fatty acid ester,,616.1,301.55,,,,4.355,37.96,96.5,FD-RH diesel,1200,450,4.0,7.5,4.5,34.9,843,,,,,,,,0.0,4.4,34.26,848,,,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,iso-butyl stearate,Y,fatty acid ester,,625.2,302.9,,,,,38.06,99.3,FD-RH diesel,1200,450,4.0,7.5,4.5,35.26,847,,,,,,,,0.0,4.4,34.96,864,,,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,tert-butyl stearate,Y,fatty acid ester,,622.5,305.05,,,,,38.1,,FD-RH diesel,1200,450,4.0,7.5,4.5,35.53,820,,76.0,,,,,,0.0,4.3,34.88,829,,77.2,,,,,,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,n-octadecane,N,n-alkane,,589.3,301.65,,,,2.062,43.9,106.3,FD-RH diesel,1200,450,4.0,7.5,4.9,34.82,862,,60.8,,503.9,,,0.21,0.0,4.7,34.54,854,,74.6,,345.6,,,0.36,0.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,reference fossil diesel,N,diesel,,542.0,,,,,,43.14,51.7,FD-RH diesel,1200,450,4.0,7.5,4.7,33.74,725,,90.0,,457.1,,,0.2,0.0,4.4,33.7,723,,106.6,,442.0,,,0.39,15322.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,methyl oleate,Y,fatty acid ester,,600.3,252.94,,,,2.638,37.42,62.3,FD-RH diesel,1200,450,4.0,7.5,4.5,34.58,804,,67.8,,506.7,,,0.14,0.0,4.4,34.23,805,,80.9,,388.3,,,0.34,11338.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,methyl stearate,Y,fatty acid ester,,601.8,310.81,,,,3.2252,37.64,88.9,FD-RH diesel,1200,450,4.0,7.5,3.7,35.98,840,,67.3,,444.7,,,0.14,0.0,3.7,36.21,838,,80.6,,345.0,,,0.29,3717.0
The Influence of Fatty Acid Ester Alcohol Moiety Molecular Structure on Diesel Combustion and Emissions,tert-butyl stearate,Y,fatty acid ester,,622.5,305.05,,,,,38.1,,FD-RH diesel,1200,450,4.0,7.5,4.3,35.15,886,,47.9,,,,,,0.0,4.2,34.9,898,,57.0,,,,,,3425.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,geraniol,Y,terpene,,503.6,258.2,,880.1,8.28,2.85,,,FD-RH diesel,1200,700,4.0,7.5,9.5,,597,,87.2,,1143.0,727.3,341.0,,0.0,8.5,,600,,134.9,,1608.9,377.8,261.7,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,nerol,Y,terpene,,499.4,,,876.0,7.19,2.52,,,FD-RH diesel,1200,700,4.0,7.5,8.1,,583,,138.2,,1536.0,386.4,163.0,,0.0,7.7,,591,,129.1,,1695.1,321.0,199.5,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,citronellol,Y,terpene,,498.1,,,855.1,11.5,3.3,,,FD-RH diesel,1200,700,4.0,7.5,8.5,,618,,156.2,,955.5,846.6,225.2,,0.0,8.7,,624,,117.1,,1326.7,531.3,208.0,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,"3,7-dimethyl-1-octanol",Y,terpene,,,,,830.8,15.33,3.82,,,FD-RH diesel,1200,700,4.0,7.5,7.9,,596,,190.4,,1356.1,403.4,135.12,,0.0,7.8,,603,,194.9,,1409.1,389.2,308.8,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,geranyl acetate,Y,terpene,,,,,915.0,3.03,1.63,,,FD-RH diesel,1200,700,4.0,7.5,8.4,,637,,150.6,,1328.6,434.7,195.2,,0.0,8.2,,642,,185.0,,1593.8,289.8,178.0,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,geranial (citral-A),Y,terpene,,499.2,,,886.8,2.65,1.48,,,FD-RH diesel,1200,700,4.0,7.5,5.5,,598,,186.8,,1676.2,221.6,115.8,,0.0,5.1,,601,,173.6,,1479.2,218.7,152.3,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,citraldimethylacetal,Y,terpene,,,,,,2.41,1.37,,,FD-RH diesel,1200,700,4.0,7.5,7.9,,647,,192.1,,1872.2,213.1,135.1,,0.0,7.7,,654,,223.0,,1773.7,198.9,143.7,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,farnesene (mixtureof isomers),Y,terpene,,,,,841.0,3.29,1.7,,,FD-RH diesel,1200,700,4.0,7.5,6.5,,566,,216.2,,1748.1,224.4,169.4,,0.0,6.4,,571,,210.1,,1634.5,224.4,145.8,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,squalene,Y,terpene,,,268.2,,857.7,15.5,5.49,,,FD-RH diesel,1200,700,4.0,7.5,6.7,,598,,213.4,,1838.1,309.7,332.4,,0.0,6.7,,591,,207.3,,1739.6,309.7,381.8,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,reference fossil diesel,N,diesel,,542.2,,,834.5,3.42,1.75,,,FD-RH diesel,1200,450,4.09,7.5,7.5,,685,,,,,,,,0.0,7.5,,686,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,5.0% farnesene,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,8.1,,736,,,,,,,,0.0,8.0,,736,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,10.1% farnesene,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,8.5,,735,,,,,,,,0.0,8.3,,737,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,20.3% farnesene,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,8.9,,736,,,,,,,,0.0,8.7,,741,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,40.0% farnesene,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,10.1,,737,,,,,,,,0.0,9.9,,735,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,41.2% farnesene,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,11.1,,778,,,,,,,,0.0,10.7,,742,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,7.8% geranial,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,7.5,,636,,,,,,,,0.0,7.4,,639,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,10.0% geranial,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,7.5,,640,,,,,,,,0.0,7.6,,642,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,20.3% geranial,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,7.9,,635,,,,,,,,0.0,8.0,,635,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,40.0% geranial,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,8.9,,644,,,,,,,,0.0,9.0,,647,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,50.0% geranial,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,9.9,,658,,,,,,,,0.0,9.7,,652,,,,,,,,0.0
Combustion and emissions characterization of terpenes with a view to their biological production in cyanobacteria,60.0% geranial,Y,terpene and reference diesel blend,,,,,,,,,,FD-RH diesel,1200,450,4.09,7.5,10.1,,677,,,,,,,,0.0,10.1,,655,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,n-heptane,N,alkane,,371.6,182.6,,684.06,0.41,,44.5,54.4,FD-RH diesel,1200,450,4.0,7.5,7.1,42.67,655,,,,,,,,0.0,7.4,42.9,657,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,5.0% toluene/95.0% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,7.3,42.95,644,,,,,,,,0.0,7.5,43.08,646,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,10.1% toluene/89.9% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,7.5,42.75,658,,,,,,,,0.0,7.5,42.65,658,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,25.0% toluene/75.0% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,8.1,42.84,650,,,,,,,,0.0,8.1,42.96,648,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,35.0.0% toluene/65.0% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,8.7,43.28,642,,,,,,,,0.0,8.8,43.22,630,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,35.1% toluene/64.9% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,8.9,44.09,628,,,,,,,,0.0,8.9,43.67,631,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,40.0% toluene/60.0% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,9.3,43.21,638,,,,,,,,0.0,9.0,43.19,638,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,46.3% toluene/53.7% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,9.9,41.93,658,,,,,,,,0.0,9.6,43.62,632,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,50.0% toluene/50.0% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,10.7,39.31,717,,,,,,,,0.0,9.9,42.38,664,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,n-heptane,N,alkane,,371.6,182.6,,684.06,0.41,,44.5,54.4,FD-RH diesel,1200,450,4.0,7.5,6.3,43.85,635,,,,,,,,0.0,6.4,43.8,637,,,,,,,,616.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,10.0% toluene/90.0% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,6.3,43.74,622,,,,,,,,0.0,6.2,43.91,618,,,,,,,,2063.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,19.8% toluene/80.2% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,6.1,43.67,622,,,,,,,,0.0,6.2,43.68,620,,,,,,,,5514.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,30.9% toluene/69.1% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,6.1,43.77,620,,,,,,,,0.0,6.2,43.78,617,,,,,,,,7876.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,40.0% toluene/60.0% n-heptane,N,toluene and n-heptane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,6.3,43.65,639,,,,,,,,0.0,6.4,43.58,638,,,,,,,,10780.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,reference fossil diesel,N,diesel,,541.9,,,834.5,,,43.14,51.7,FD-RH diesel,1200,450,4.0,7.5,7.1,42.7,617,,,,,,,,0.0,7.2,42.4,619,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,n-octane,N,alkane,,398.9,216.3,,702.8,0.546,,44.79,64.1,FD-RH diesel,1200,450,4.0,7.5,6.5,42.12,615,,,,,,,,0.0,6.5,42.01,618,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,10.0% 1-octene/90.0% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,6.5,42.27,616,,,,,,,,0.0,6.7,42.3,621,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,25.0% 1-octene/75.0% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,6.9,42.3,617,,,,,,,,0.0,6.8,42.05,619,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,50.0% 1-octene/50.0% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,7.3,41.84,619,,,,,,,,0.0,7.4,42.14,621,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,63.1% 1-octene/36.9% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,7.3,42.09,617,,,,,,,,0.0,7.4,42.0,620,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,75.0% 1-octene/25.0% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,7.5,42.15,615,,,,,,,,0.0,7.7,42.28,620,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,87.5% 1-octene/12.5% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,7.7,42.59,618,,,,,,,,0.0,7.8,42.13,621,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,95.5% 1-octene/4.5% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,7.9,42.31,617,,,,,,,,0.0,8.0,42.41,623,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,1-octene,N,alkene,,394.5,170.6,,714.9,0.47,,44.56,40.8,FD-RH diesel,1200,450,4.0,7.5,8.1,42.24,617,,,,,,,,0.0,8.1,42.08,618,,,,,,,,0.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,n-octane,N,alkane,,398.9,216.3,,702.8,0.546,,44.79,64.1,FD-RH diesel,1200,450,4.0,7.5,5.9,41.9,619,,,,,,,,0.0,5.9,42.12,619,,,,,,,,441.0
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,50.0% 1-octene/50.0% n-octane,N,1-octene and n-octane blend,,,,,,,,,,FD-RH diesel,1200,450,4.0,7.5,5.7,41.89,619,,,,,,,,0.0,5.8,41.95,620,,,,,,,,8589.5
Combustion and emissions characteristics of toluene/n-heptane and 1-octene/n-octane binary mixtures in a direct injection compression ignition engine,1-octene,N,alkene,,394.5,170.6,,714.9,0.47,,44.56,40.8,FD-RH diesel,1200,450,4.0,7.5,6.1,41.79,620,,,,,,,,0.0,6.0,41.87,620,,,,,,,,12169.0
