name,smiles
OCTANE,CCCCCCCC
UNDECANE,CCCCCCCCCCC
DODECANE,CCCCCCCCCCCC
TETRADECANE,CCCCCCCCCCCCC
HEXADECANE,CCCCCCCCCCCCCCCC
1-OCTANOL,CCCCCCCCO
2-OCTANOL,CCCCCCC(C)O
3-OCTANOL,CCCCCC(CC)O
1-OCTEN-3-OL,CCCCCC(C=C)O
1-NONANOL,CCCCCCCCCO
2-NONANOL,CCCCCCCC(C)O
5-NONANOL,CCCCC(CCCC)O
1-DECANOL,CCCCCCCCCCO
1-DECEN-3-OL,CCCCCCCC(C=C)O
1-UNDECANOL,CCCCCCCCCCCO
2-UNDECANOL,CCCCCCCCCC(C)O
10-UNDECEN-1-OL,C=CCCCCCCCCCO
"3,7-DIMETHYL-3-OCTANOL",CCC(C)(CCCC(C)C)O
1-DODECANOL,CCCCCCCCCCCCO
1-TETRADECANOL,CCCCCCCCCCCCCCO
1-HEXADECANOL,CCCCCCCCCCCCCCCCO