name,smiles,ysi,smiles_ok,cn,,,,,
1-METHYLNAPHTHALENE,,135,Cc1cccc2ccccc12,-1.333333333,,,,,
2-METHYLNAPHTHALENE,,135,Cc1ccc2ccccc2c1,6,,,,,
BIPHENYL,,128,c1ccc(-c2ccccc2)cc1,18,,,,,
DIPHENYLMETHANE,,128,c1ccc(Cc2ccccc2)cc1,11,,,,,
NAPHTHALENE,,100,c1ccc2ccccc2c1,22,,,,,
TETRALIN,,75.1,c1ccc2c(c1)CCCC2,13.2,,,,,
N-TETRADECYLBENZENE,,74,CCCCCCCCCCCCCCc1ccccc1,72,,,,,
"1,3-DIETHYLBENZENE",,72.2,CCc1cccc(CC)c1,5,,,,,
"1,2,3-TRIMETHYLBENZENE",,71.1,Cc1cccc(C)c1C,10.1,,,,,
"1,3,5-TRIMETHYLBENZENE",,70.3,Cc1cc(C)cc(C)c1,8,,,,,
"1,2,4-TRIMETHYLBENZENE",,69.8,Cc1ccc(C)c(C)c1,8.9,,,,,
N-DODECYLBENZENE,,69,CCCCCCCCCCCCc1ccccc1,68,,,,,
N-NONYLBENZENE,,65,CCCCCCCCCc1ccccc1,50,,,,,
N-HEPTYLBENZENE,,60,CCCCCCCc1ccccc1,34.66666667,,,,,
N-OCTYLBENZENE,,60,CCCCCCCCc1ccccc1,37.5,,,,,
N-PENTYLBENZENE,,59.6,CCCCCc1ccccc1,11.66666667,,,,,
N-HEXYLBENZENE,,58,CCCCCCc1ccccc1,26,,,,,
N-BUTYLBENZENE,,57.7,CCCCc1ccccc1,12.45,,,,,
"1,3-DIMETHYLBENZENE",,53.2,Cc1cccc(C)c1,7,,,,,
"1,4-DIMETHYLBENZENE",,51.2,Cc1ccc(C)cc1,6.2,,,,,
"1,2-DIMETHYLBENZENE",,50,Cc1ccccc1C,8.3,,,,,
TOLUENE,,43.5,Cc1ccccc1,6,,,,,
BICYCLOHEXYL,,30,C1CCC(C2CCCCC2)CC1,50,,,,,
BENZENE,,30,c1ccccc1,4.825,,,,,
1-DODECENE,,93,C=CCCCCCCCCCC,56.8,,,,,
1-DECENE,,69,C=CCCCCCCCC,49.1,,,,,
N-DODECANE,,64.2,CCCCCCCCCCCC,73.45,,,,,
N-UNDECANE,,53.3,CCCCCCCCCCC,81,,,,,
1-NONENE,,52.8,C=CCCCCCCC,51,,,,,
CYCLOHEXENE,,22.7,C1=CCCCC1,18.1,,,,,
4-METHYL-1-CYCLOHEXENE,,61.27218258,CC1CC=CCC1,52,,,,,
ETHYLCYCLOHEXANE,,47.1,CCC1CCCCC1,35.8,,,,,
CYCLOOCTANE,,42.4,C1CCCCCCC1,22.3,,,,,
N-DECANE,,41.7,CCCCCCCCCC,66.35,,,,,
1-OCTENE,,39.8,C=CCCCCCC,40,,,,,
"2,2,3-TRIMETHYLBUTANE",,38.7,CC(C)C(C)(C)C,12.9,,,,,
METHYLCYCLOHEXANE,,36,CC1CCCCC1,23.3,,,,,
2-ETHYL-1-HEXANOL,,31.1,CCCCC(CC)CO,23.5,,,,,
METHYLCYCLOPENTANE,,30.9,CC1CCCC1,17.2,,,,,
N-NONANE,,30.6,CCCCCCCCC,60.9,,,,,
"2,4-DIMETHYLPENTANE",,29.9,CC(C)CC(C)C,28.45,,,,,
"2,3-DIMETHYLPENTANE",,29.6,CCC(C)C(C)C,21.85,,,,,
2-METHYLHEPTANE,,29.5,CCCCCC(C)C,49.8,,,,,
1-HEPTENE,,27.9,C=CCCCCC,32,,,,,
CYCLOHEXENE,,23.7,C1=CCCCC1,18.1,,,,,
2-NONANONE,,22.9,CCCCCCCC(C)=O,46.1,,,,,
3-OCTANOL,,20.6,CCCCCC(O)CC,25.1,,,,,
"2,2-DIMETHYLBUTANE",,20.2,CCC(C)(C)C,24.4,,,,,
3-METHYLHEXANE,,19.6,CCCC(C)CC,42,,,,,
CYCLOHEXANE,,19.1,C1CCCCC1,19.95,,,,,
N-OCTANE,,18.9,CCCCCCCC,58.2,,,,,
1-HEXENE,,18.7,C=CCCCC,27.35,,,,,
2-METHYLHEXANE,,18.6,CCCCC(C)C,43.5,,,,,
CYCLOHEXANOL,,18.5,OC1CCCCC1,16.3,,,,,
1-OCTANOL,,16.7,CCCCCCCCO,33.8,,,,,
PENTYL ACETATE,,15.6,CCCCCOC(C)=O,23.6,,,,,
CYCLOPENTANE,,14,C1CCCC1,6.1,,,,,
2-HEPTANOL,,14,CCCCCC(C)O,25,,,,,
METHYL OCTANOATE,,13.3,CCCCCCCC(=O)OC,39.8,,,,,
DIISOPROPYL ETHER,,12.9,CC(C)OC(C)C,23.6,,,,,
DIBUTYL ETHER,,12.9,CCCCOCCCC,115.4,,,,,
4-HEPTANOL,,12.6,CCCC(O)CCC,21,,,,,
3-METHYLPENTANE,,12.2,CCC(C)CC,30.7,,,,,
2-OCTANONE,,11.7,CCCCCCC(C)=O,36.6,,,,,
OCTANAL,,11.1,CCCCCCCC=O,105.75,,,,,
2-METHYLPENTANE,,9.8,CCCC(C)C,34.5,,,,,
N-HEPTANE,,8.7,CCCCCCC,53.52857143,,,,,
3-OCTANONE,,8.8,CCCCCC(=O)CC,36,,,,,
1-HEPTANOL,,6.7,CCCCCCCO,29,,,,,
CYCLOHEXANONE,,6.1,O=C1CCCCC1,10.4,,,,,
2-METHYL-2-BUTANOL,,3.9,CCC(C)(C)O,12.1,,,,,
METHYL HEPTANOATE,,3.3,CCCCCCC(=O)OC,34.2,,,,,
2-HEPTANONE,,17,CCCCCC(C)=O,30,,,,,
1-BUTOXY-2-PROPANOL,,2,CCCCOCC(C)O,36.1,,,,,
N-HEXANE,,0,CCCCCC,48.95,,,,,
2-HEPTANONE,,0,CCCCCC(C)=O,30,,,,,
1-HEXANOL,,-0.6,CCCCCCO,23.3,,,,,
ETHYL PENTANOATE,,-3,CCCCC(=O)OCC,18.6,,,,,
HEXANAL,,-5.7,CCCCCC=O,75.2,,,,,
TETRAHYDROPYRAN,,-6,C1CCOCC1,38.2,,,,,
2-ISOPROPOXYETHANOL,,-7.5,CC(C)OCCO,27.8,,,,,
1-PENTANOL,,-7.7,CCCCCO,19.1,,,,,
2-BUTOXYETHANOL,,-7.8,CCCCOCCO,38,,,,,
2-BUTANOL,,-8.6,CCC(C)O,8.5,,,,,
N-PENTANE,,-8.9,CCCCC,30,,,,,
METHYL PENTANOATE,,-12.6,CCCCC(=O)OC,13.3,,,,,
CYCLOPENTANONE,,21.83809051,O=C1CCCC1,9,,,,,
3-PENTANONE,,-14.4,CCC(=O)CC,14.6,,,,,
TETRAHYDROFURAN,,-15.7,C1CCOC1,21.9,,,,,
DIETHOXYMETHANE,,-18.4,CCOCOCC,57.3,,,,,
BUTANAL,,-19.9,CCCC=O,41.1,,,,,
DIETHYL ETHER,,-21.1,CCOCC,150,,,,,
"1,2-DIMETHOXYETHANE",,-28.8,COCCOC,81,,,,,
METHYL ACETATE,,-29,COC(C)=O,19.5,,,,,
DIMETHOXYMETHANE,,-30.3,COCOC,45.75,,,,,
ETHANOL,,-31.1,CCO,7,,,,,
METHANOL,,-36.9,CO,3.333333333,,,,,
