Feature_Name,Feature_Type,Importance,Original_Index
MolWt,Descriptor,0.278704272643216,2052
BertzCT,Descriptor,0.09113882195919372,2067
Morgan_Bit_1143,Morgan,0.08676093478183729,1143
Chi4n,Descriptor,0.06401123448473754,2070
Ipc,Descriptor,0.044250997223951254,2072
Chi3n,Descriptor,0.04101973823350116,2069
Kappa2,Descriptor,0.032452317816590866,2073
Morgan_Bit_1380,Morgan,0.02953247676933325,1380
HallKierAlpha,Descriptor,0.02333040322684122,2071
qed,Descriptor,0.022277268915529353,2051
fr_unbrch_alkane,Descriptor,0.02131422262040985,2212
VSA_EState3,Descriptor,0.019179104553492646,2122
BCUT2D_LOGPLOW,Descriptor,0.014803388518596769,2063
MaxEStateIndex,Descriptor,0.012948443755728574,2048
MolLogP,Descriptor,0.012622791177084482,2138
Chi2n,Descriptor,0.009267040045767387,2068
BCUT2D_CHGHI,Descriptor,0.008750898999053226,2060
SMR_VSA5,Descriptor,0.008093028751594549,2094
PEOE_VSA6,Descriptor,0.007948385643859255,2085
Morgan_Bit_389,Morgan,0.007593235796068196,389
Morgan_Bit_807,Morgan,0.007065422932980317,807
BCUT2D_CHGLO,Descriptor,0.006680956748460757,2061
Morgan_Bit_1911,Morgan,0.00643263723885784,1911
SMR_VSA1,Descriptor,0.006255437605336204,2089
VSA_EState7,Descriptor,0.006210234295831228,2126
EState_VSA5,Descriptor,0.006149347727566451,2115
FpDensityMorgan1,Descriptor,0.0061453643276550155,2056
Morgan_Bit_1057,Morgan,0.00551142399778823,1057
Morgan_Bit_13,Morgan,0.005132335677897939,13
Kappa3,Descriptor,0.004616402286269353,2074
EState_VSA9,Descriptor,0.0045904732896415055,2119
BCUT2D_MRHI,Descriptor,0.004585708735432784,2064
SMR_VSA4,Descriptor,0.00423501816376901,2093
SMR_VSA7,Descriptor,0.0038075408890662116,2096
Morgan_Bit_1734,Morgan,0.003798394651493658,1734
BCUT2D_MRLOW,Descriptor,0.003527466296645759,2065
VSA_EState6,Descriptor,0.003213386701513412,2125
Morgan_Bit_1249,Morgan,0.003080870997794941,1249
Morgan_Bit_1737,Morgan,0.002942538051675352,1737
SlogP_VSA2,Descriptor,0.0029132512767413394,2103
SMR_VSA10,Descriptor,0.002884347613308331,2090
VSA_EState8,Descriptor,0.002796551053669761,2127
RingCount,Descriptor,0.002791713831268149,2137
MinPartialCharge,Descriptor,0.002614851229414563,2055
Morgan_Bit_1750,Morgan,0.0023801885799425585,1750
MaxPartialCharge,Descriptor,0.0023224953407021192,2054
PEOE_VSA1,Descriptor,0.0022736796918522385,2075
fr_Al_COO,Descriptor,0.0020219053650297747,2139
MinEStateIndex,Descriptor,0.0019465107129641992,2049
FractionCSP3,Descriptor,0.0017913263458911191,2129
fr_Al_OH_noTert,Descriptor,0.0017868464211913922,2141
Morgan_Bit_1287,Morgan,0.0017715473195521977,1287
EState_VSA1,Descriptor,0.0017301798034029404,2109
FpDensityMorgan2,Descriptor,0.0017100536964336124,2057
EState_VSA8,Descriptor,0.0015767441543834623,2118
Morgan_Bit_1110,Morgan,0.0014631215895587286,1110
EState_VSA10,Descriptor,0.001459882277161734,2110
BCUT2D_MWLOW,Descriptor,0.001351257681268343,2059
fr_Al_OH,Descriptor,0.0013455859594777965,2140
Morgan_Bit_695,Morgan,0.0012069006094397794,695
MinAbsEStateIndex,Descriptor,0.0010453525075769228,2050
fr_C_O_noCOO,Descriptor,0.0009838941573642403,2147
FpDensityMorgan3,Descriptor,0.0009823349175733704,2058
Morgan_Bit_1088,Morgan,0.000951974207800973,1088
VSA_EState5,Descriptor,0.0009481352099876406,2124
PEOE_VSA10,Descriptor,0.0008411064631918433,2076
Morgan_Bit_222,Morgan,0.0008213297296336276,222
EState_VSA7,Descriptor,0.0008083510699909621,2117
PEOE_VSA14,Descriptor,0.0007956077609824382,2080
BCUT2D_LOGPHI,Descriptor,0.0007672708009407136,2062
BalabanJ,Descriptor,0.0007593092859304286,2066
EState_VSA2,Descriptor,0.0007421160979703663,2112
Morgan_Bit_650,Morgan,0.0007332875357905502,650
SlogP_VSA3,Descriptor,0.0007235975683262779,2104
Morgan_Bit_283,Morgan,0.0006395406520669686,283
EState_VSA3,Descriptor,0.0006138560664341372,2113
fr_ketone,Descriptor,0.0006076587661280612,2184
PEOE_VSA7,Descriptor,0.000601513304214038,2086
EState_VSA4,Descriptor,0.0005557319035835549,2114
Morgan_Bit_591,Morgan,0.0005094695082239016,591
SlogP_VSA4,Descriptor,0.00047828345836282613,2105
SMR_VSA6,Descriptor,0.00047075189231066215,2095
PEOE_VSA8,Descriptor,0.0004389786050861979,2087
Morgan_Bit_147,Morgan,0.0004350778821810535,147
VSA_EState1,Descriptor,0.0004306867952167687,2120
PEOE_VSA9,Descriptor,0.00039390196014858845,2088
Morgan_Bit_80,Morgan,0.00036470028355958854,80
Morgan_Bit_294,Morgan,0.0003646480439976696,294
Morgan_Bit_1366,Morgan,0.00035181294512827703,1366
PEOE_VSA2,Descriptor,0.00034700258012199407,2081
Morgan_Bit_926,Morgan,0.00031412731197582867,926
Morgan_Bit_1722,Morgan,0.00030208260160400333,1722
SlogP_VSA8,Descriptor,0.0003015741762074387,2107
EState_VSA6,Descriptor,0.00028023071696152516,2116
Morgan_Bit_1564,Morgan,0.00027839507111693306,1564
Morgan_Bit_794,Morgan,0.00027818030302681945,794
Morgan_Bit_1,Morgan,0.00026419000898746505,1
Morgan_Bit_1267,Morgan,0.000257705527158408,1267
Morgan_Bit_1444,Morgan,0.0002569322922525073,1444
Morgan_Bit_1199,Morgan,0.0002562760829597797,1199
Morgan_Bit_1873,Morgan,0.0002359196229856904,1873
Morgan_Bit_1917,Morgan,0.00023454331959058583,1917
Morgan_Bit_694,Morgan,0.00022446357526164962,694
Morgan_Bit_1028,Morgan,0.00021196388136044878,1028
VSA_EState4,Descriptor,0.00020662829184826516,2123
Morgan_Bit_1386,Morgan,0.00020083388932327432,1386
fr_aryl_methyl,Descriptor,0.00019813258084420412,2166
fr_ester,Descriptor,0.0001823272591350263,2175
Morgan_Bit_1399,Morgan,0.00018133474486615067,1399
Morgan_Bit_114,Morgan,0.00016136746611622018,114
Morgan_Bit_1992,Morgan,0.00014387978163494047,1992
Morgan_Bit_401,Morgan,0.00013572209943558768,401
Morgan_Bit_1017,Morgan,0.00012154313611117338,1017
Morgan_Bit_1325,Morgan,0.0001122840236186269,1325
Morgan_Bit_392,Morgan,0.00011159658100031224,392
Morgan_Bit_959,Morgan,0.00010501101734503173,959
Morgan_Bit_890,Morgan,0.00010012670716738799,890
NumAliphaticRings,Descriptor,0.00010006338600985955,2132
Morgan_Bit_677,Morgan,9.729055398974214e-05,677
Morgan_Bit_1004,Morgan,9.694795670638752e-05,1004
Morgan_Bit_1019,Morgan,9.520889613877117e-05,1019
NumAromaticHeterocycles,Descriptor,9.482965646047846e-05,2133
Morgan_Bit_739,Morgan,9.321358387036218e-05,739
Morgan_Bit_841,Morgan,9.29058530216615e-05,841
Morgan_Bit_1645,Morgan,8.474052345202629e-05,1645
Morgan_Bit_718,Morgan,8.473736834336174e-05,718
Morgan_Bit_473,Morgan,8.313214766679794e-05,473
Morgan_Bit_1238,Morgan,8.14882206134048e-05,1238
NumAliphaticCarbocycles,Descriptor,7.857505415645062e-05,2130
Morgan_Bit_775,Morgan,7.61576810775502e-05,775
SMR_VSA9,Descriptor,7.334659760309765e-05,2098
PEOE_VSA3,Descriptor,7.277998747048902e-05,2082
Morgan_Bit_118,Morgan,7.053570001646301e-05,118
Morgan_Bit_1550,Morgan,6.512158079868992e-05,1550
Morgan_Bit_2033,Morgan,6.366946562995666e-05,2033
fr_allylic_oxid,Descriptor,6.197090091994783e-05,2162
Morgan_Bit_1985,Morgan,6.175246598001473e-05,1985
Morgan_Bit_691,Morgan,5.713939084687385e-05,691
Morgan_Bit_1855,Morgan,5.460173684746753e-05,1855
Morgan_Bit_1152,Morgan,5.4561240211873364e-05,1152
NumSaturatedRings,Descriptor,5.326658072153904e-05,2136
Morgan_Bit_227,Morgan,5.20327758789472e-05,227
Morgan_Bit_1356,Morgan,5.079555514784871e-05,1356
Morgan_Bit_1754,Morgan,4.935446208098857e-05,1754
NumSaturatedCarbocycles,Descriptor,4.43406554958344e-05,2134
Morgan_Bit_1034,Morgan,4.224263426964852e-05,1034
Morgan_Bit_1755,Morgan,3.57883747905595e-05,1755
fr_aldehyde,Descriptor,3.398724422476987e-05,2159
Morgan_Bit_1087,Morgan,3.2722029333066164e-05,1087
Morgan_Bit_1243,Morgan,3.2491500032575687e-05,1243
Morgan_Bit_913,Morgan,3.2436911421101614e-05,913
Morgan_Bit_1005,Morgan,3.0799084955032044e-05,1005
Morgan_Bit_1385,Morgan,3.0604543503979703e-05,1385
PEOE_VSA5,Descriptor,3.0561455444541836e-05,2084
Morgan_Bit_1440,Morgan,2.881566593630986e-05,1440
Morgan_Bit_1069,Morgan,2.47954936500047e-05,1069
Morgan_Bit_195,Morgan,2.3659599075482342e-05,195
VSA_EState9,Descriptor,2.319204664604439e-05,2128
fr_bicyclic,Descriptor,2.1506166670012688e-05,2171
Morgan_Bit_1184,Morgan,2.0973645341732026e-05,1184
Morgan_Bit_1738,Morgan,1.7307064344113573e-05,1738
Morgan_Bit_1045,Morgan,1.58681545291061e-05,1045
Morgan_Bit_1799,Morgan,1.5387246897682424e-05,1799
Morgan_Bit_145,Morgan,1.4833650676442278e-05,145
Morgan_Bit_252,Morgan,1.4828312942329224e-05,252
Morgan_Bit_875,Morgan,1.3908058925534773e-05,875
Morgan_Bit_2,Morgan,1.3725396878943145e-05,2
PEOE_VSA11,Descriptor,1.181359801129265e-05,2077
Morgan_Bit_1454,Morgan,1.1333061707884348e-05,1454
Morgan_Bit_1066,Morgan,1.1158546051316104e-05,1066
Morgan_Bit_1309,Morgan,9.49640199193646e-06,1309
Morgan_Bit_656,Morgan,9.410734767313514e-06,656
Morgan_Bit_768,Morgan,9.284793251564727e-06,768
Morgan_Bit_151,Morgan,6.525907808979622e-06,151
Morgan_Bit_1544,Morgan,5.071395683613405e-06,1544
Morgan_Bit_1536,Morgan,4.999008752635603e-06,1536
Morgan_Bit_310,Morgan,4.8978334589153605e-06,310
Morgan_Bit_1844,Morgan,4.87348598455226e-06,1844
Morgan_Bit_1257,Morgan,4.5544181289947424e-06,1257
Morgan_Bit_1978,Morgan,3.7979673160251932e-06,1978
Morgan_Bit_1592,Morgan,2.827520417234362e-06,1592
Morgan_Bit_1369,Morgan,2.2231005689013603e-06,1369
Morgan_Bit_1860,Morgan,2.036884404923964e-06,1860
Morgan_Bit_1035,Morgan,1.7634052111129625e-06,1035
Morgan_Bit_1847,Morgan,1.712649487902598e-06,1847
Morgan_Bit_1022,Morgan,1.569245355506737e-06,1022
NumSaturatedHeterocycles,Descriptor,1.4565495044012066e-06,2135
Morgan_Bit_1726,Morgan,1.2725075960537118e-06,1726
Morgan_Bit_1908,Morgan,1.1914775281301876e-06,1908
Morgan_Bit_235,Morgan,1.1728223730102239e-06,235
Morgan_Bit_736,Morgan,1.0190134945873574e-06,736
Morgan_Bit_846,Morgan,9.292779379343185e-07,846
Morgan_Bit_997,Morgan,8.884966293102972e-07,997
SlogP_VSA11,Descriptor,8.758585973491399e-07,2101
Morgan_Bit_915,Morgan,7.835143348401751e-07,915
Morgan_Bit_29,Morgan,6.709416368793749e-07,29
Morgan_Bit_598,Morgan,6.073113690163669e-07,598
Morgan_Bit_1283,Morgan,5.15027218317257e-07,1283
PEOE_VSA13,Descriptor,4.3321990010363715e-07,2079
Morgan_Bit_1039,Morgan,2.786514369593672e-07,1039
Morgan_Bit_1269,Morgan,0.0,1269
Morgan_Bit_1839,Morgan,0.0,1839
Morgan_Bit_1709,Morgan,0.0,1709
Morgan_Bit_636,Morgan,0.0,636
Morgan_Bit_1368,Morgan,0.0,1368
Morgan_Bit_69,Morgan,0.0,69
Morgan_Bit_1329,Morgan,0.0,1329
Morgan_Bit_962,Morgan,0.0,962
Morgan_Bit_1867,Morgan,0.0,1867
Morgan_Bit_892,Morgan,0.0,892
Morgan_Bit_1877,Morgan,0.0,1877
Morgan_Bit_749,Morgan,0.0,749
Morgan_Bit_1818,Morgan,0.0,1818
Morgan_Bit_1173,Morgan,0.0,1173
Morgan_Bit_432,Morgan,0.0,432
Morgan_Bit_953,Morgan,0.0,953
Morgan_Bit_104,Morgan,0.0,104
Morgan_Bit_556,Morgan,0.0,556
Morgan_Bit_1138,Morgan,0.0,1138
Morgan_Bit_1275,Morgan,0.0,1275
Morgan_Bit_314,Morgan,0.0,314
Morgan_Bit_630,Morgan,0.0,630
Morgan_Bit_196,Morgan,0.0,196
Morgan_Bit_1260,Morgan,0.0,1260
Morgan_Bit_1475,Morgan,0.0,1475
Morgan_Bit_1410,Morgan,0.0,1410
Morgan_Bit_293,Morgan,0.0,293
Morgan_Bit_14,Morgan,0.0,14
Morgan_Bit_1157,Morgan,0.0,1157
Morgan_Bit_1256,Morgan,0.0,1256
Morgan_Bit_723,Morgan,0.0,723
Morgan_Bit_1455,Morgan,0.0,1455
Morgan_Bit_1802,Morgan,0.0,1802
Morgan_Bit_1016,Morgan,0.0,1016
Morgan_Bit_813,Morgan,0.0,813
Morgan_Bit_1697,Morgan,0.0,1697
Morgan_Bit_541,Morgan,0.0,541
Morgan_Bit_308,Morgan,0.0,308
NumAliphaticHeterocycles,Descriptor,0.0,2131
Morgan_Bit_1582,Morgan,0.0,1582
Morgan_Bit_893,Morgan,0.0,893
Morgan_Bit_1063,Morgan,0.0,1063
Morgan_Bit_606,Morgan,0.0,606
Morgan_Bit_1344,Morgan,0.0,1344
Morgan_Bit_530,Morgan,0.0,530
Morgan_Bit_1149,Morgan,0.0,1149
Morgan_Bit_249,Morgan,0.0,249
Morgan_Bit_1774,Morgan,0.0,1774
Morgan_Bit_1670,Morgan,0.0,1670
fr_lactone,Descriptor,0.0,2186
Morgan_Bit_939,Morgan,0.0,939
Morgan_Bit_564,Morgan,0.0,564
Morgan_Bit_1574,Morgan,0.0,1574
Morgan_Bit_1614,Morgan,0.0,1614
Morgan_Bit_479,Morgan,0.0,479
Morgan_Bit_500,Morgan,0.0,500
Morgan_Bit_351,Morgan,0.0,351
Morgan_Bit_1745,Morgan,0.0,1745
Morgan_Bit_357,Morgan,0.0,357
Morgan_Bit_725,Morgan,0.0,725
Morgan_Bit_1134,Morgan,0.0,1134
Morgan_Bit_246,Morgan,0.0,246
Morgan_Bit_1521,Morgan,0.0,1521
Morgan_Bit_1129,Morgan,0.0,1129
Morgan_Bit_369,Morgan,0.0,369
Morgan_Bit_156,Morgan,0.0,156
Morgan_Bit_1447,Morgan,0.0,1447
Morgan_Bit_844,Morgan,0.0,844
Morgan_Bit_1607,Morgan,0.0,1607
Morgan_Bit_888,Morgan,0.0,888
Morgan_Bit_1195,Morgan,0.0,1195
Morgan_Bit_1725,Morgan,0.0,1725
Morgan_Bit_783,Morgan,0.0,783
Morgan_Bit_1464,Morgan,0.0,1464
Morgan_Bit_970,Morgan,0.0,970
Morgan_Bit_1714,Morgan,0.0,1714
Morgan_Bit_203,Morgan,0.0,203
Morgan_Bit_1871,Morgan,0.0,1871
Morgan_Bit_1333,Morgan,0.0,1333
Morgan_Bit_1984,Morgan,0.0,1984
Morgan_Bit_750,Morgan,0.0,750
Morgan_Bit_1602,Morgan,0.0,1602
Morgan_Bit_1742,Morgan,0.0,1742
Morgan_Bit_585,Morgan,0.0,585
Morgan_Bit_2037,Morgan,0.0,2037
Morgan_Bit_312,Morgan,0.0,312
Morgan_Bit_334,Morgan,0.0,334
Morgan_Bit_0,Morgan,0.0,0
Morgan_Bit_2027,Morgan,0.0,2027
Morgan_Bit_1029,Morgan,0.0,1029
Morgan_Bit_1264,Morgan,0.0,1264
Morgan_Bit_1331,Morgan,0.0,1331
Morgan_Bit_456,Morgan,0.0,456
Morgan_Bit_26,Morgan,0.0,26
Morgan_Bit_1027,Morgan,0.0,1027
Morgan_Bit_375,Morgan,0.0,375
Morgan_Bit_1609,Morgan,0.0,1609
Morgan_Bit_1423,Morgan,0.0,1423
Morgan_Bit_1760,Morgan,0.0,1760
Morgan_Bit_101,Morgan,0.0,101
